date,group name,rank,last rank,up down,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,total titles
2025-07-29,River Lynn,238,239,1,109,126,0,1,0,1,13.347014093327672,1
2025-07-29,Jade Valentine,239,238,-1,78,124,0,1,0,1,13.34463891333588,1
2025-07-29,Rose Carter,240,240,0,54,144,0,1,0,1,13.028683634327844,1
2025-07-29,Ivi Rein,241,241,0,126,158,0,1,0,1,12.897832270185768,1
2025-07-29,Sydney Paige,242,242,0,118,158,0,1,0,1,12.889695573684548,1
2025-07-29,Serena Sterling,243,243,0,263,175,0,1,0,1,12.78935978669045,1
2025-07-29,Kristina Grace,244,244,0,270,176,0,1,0,1,12.781902136653802,1
2025-07-29,Kaira Love,245,245,0,219,179,0,1,0,1,12.686298918032865,1
2025-07-29,Talia Mint,246,246,0,69,175,0,1,0,1,12.592044896535855,1
2025-07-29,Alice Flore,247,247,0,237,188,0,1,0,1,12.573411149883643,1
2025-07-29,Fiona Frost,248,248,0,135,256,0,1,1,2,12.478414625178212,2
2025-07-29,Stella Sedona,249,249,0,52,211,0,1,0,1,12.04997307536289,1
2025-07-29,Sandrillon,250,250,0,102,218,0,1,0,1,11.998786612168988,1
2025-07-29,Siri Dahl,251,251,0,47,421,0,1,3,4,11.983663150253708,7
2025-07-29,Cherry Candle,252,252,0,284,305,0,1,1,2,11.91567488322773,2
2025-07-29,Melena Maria Rya,253,253,0,22,224,0,1,0,1,11.829956090305469,1
2025-07-29,Silvia Soprano,254,254,0,94,236,0,1,0,1,11.728259245113831,1
2025-07-29,Melissa Stratton,255,255,0,134,244,0,1,0,1,11.652324651818184,1
2025-07-29,Sara Heat,256,257,1,195,252,0,1,0,0,11.597748886838243,1
2025-07-29,Zuzu Sweet,257,256,-1,208,253,0,1,0,1,11.596393759177506,1
2025-07-29,Clea Gaultier,258,258,0,715,360,0,1,1,2,11.552290136093958,2
2025-07-29,Sara Latina,259,259,0,18,256,0,1,0,1,11.359415438847861,1
2025-07-29,KRISSY LYNN,260,260,0,227,343,0,1,1,2,11.303765060598225,2
2025-07-29,Graycee Baybee,261,261,0,239,348,0,1,1,2,11.243083807973964,2
2025-07-29,Stella Cox,262,262,0,196,348,0,1,1,2,11.199349064279902,2
2025-07-29,April Olsen,263,263,0,150,348,0,1,1,2,11.152563059397885,2
2025-07-29,Laura Bentley,264,264,0,88,280,0,1,0,1,11.080757305828294,1
2025-07-29,Dharma Jones,265,265,0,65,285,0,1,0,1,10.98447800601119,1
2025-07-29,Remy LaCroix,266,267,1,236,307,0,1,0,1,10.83770018526997,1
2025-07-29,Kitty Lovedream,267,266,-1,122,300,0,1,0,1,10.823793076454107,1
2025-07-29,Sophia Burns,268,268,0,14,294,0,1,0,1,10.801411230538942,1
2025-07-29,Julia Morozzi,269,269,0,162,312,0,1,0,0,10.689549445257587,1
2025-07-29,Isabella D,270,270,0,151,312,0,1,0,0,10.67836148756841,1
2025-07-29,Renee Rose,271,271,0,161,314,0,1,0,1,10.659377839244497,1
2025-07-29,Freya von Doom,272,272,0,368,339,0,1,0,1,10.50548337433311,1
2025-07-29,Anika Now,273,273,0,198,66,0,0,1,1,10.312170410416869,1
2025-07-29,Violet Joly,274,274,0,199,349,0,1,0,1,10.18782306599264,1
2025-07-29,Anna Claire Clouds,275,275,0,107,343,0,1,0,1,10.181714613079919,1
2025-07-29,Hazel Moore,276,276,0,48,339,0,1,0,1,10.18001551428429,1
2025-07-29,Lucky Bee,277,277,0,174,348,0,1,0,1,10.176973148901546,1
2025-07-29,Valeria Borghese,278,278,0,11,339,0,1,0,1,10.142383292966146,1
2025-07-29,Chrissy,279,279,0,9,339,0,1,0,1,10.140349118840842,1
2025-07-29,Lulu Love,280,280,0,31,343,0,1,0,1,10.104415996318323,1
2025-07-29,SAHARA SKYE,281,281,0,199,356,0,1,0,1,10.08578224966611,1
2025-07-29,Alika Alba,282,282,0,161,356,0,1,0,1,10.047132941285314,1
2025-07-29,Nina Nix,283,283,0,28,349,0,1,0,1,10.013901178279053,1
