date,group name,rank,last rank,up down,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,total titles
2025-07-23,Alex Coal,1,N/A,N/A,9832,8,42,20,5,64,544.8976608187135,70
2025-07-23,Millie Morgan,2,N/A,N/A,5353,5,40,17,6,60,506.3859875142154,61
2025-07-23,Katrina Colt,3,N/A,N/A,5974,7,36,22,2,57,487.98835881404085,57
2025-07-23,Eva Lovia,4,N/A,N/A,8390,69,31,18,2,48,419.53920840887133,48
2025-07-23,Jia Lissa,5,N/A,N/A,4627,19,31,12,3,41,387.44290394415657,43
2025-07-23,Chanel Camryn,6,N/A,N/A,4695,42,26,22,2,50,386.17580855447545,43
2025-07-23,Adriana Chechik,7,N/A,N/A,6953,22,31,11,2,41,383.7647888027636,39
2025-07-23,Abigail Mac,8,N/A,N/A,7117,29,25,15,2,39,343.8292518997521,41
2025-07-23,Aidra Fox,9,N/A,N/A,6438,117,23,18,4,41,338.8521000766087,49
2025-07-23,Octavia Red,10,N/A,N/A,4318,7,22,19,5,46,334.3040626382882,47
2025-07-23,Antonia Sainz,11,N/A,N/A,4106,15,25,8,1,29,304.9714811166783,36
2025-07-23,Jessica Ryan,12,N/A,N/A,3156,28,21,16,1,35,303.81518992762625,38
2025-07-23,Alexis Crystal,13,N/A,N/A,3696,53,21,14,5,36,297.9989198654352,36
2025-07-23,Kira Queen,14,N/A,N/A,4246,61,13,29,9,49,297.4413586855666,53
2025-07-23,Tori Black,15,N/A,N/A,3817,182,26,4,0,23,291.2360224877355,31
2025-07-23,Cassidy Klein,16,N/A,N/A,7842,102,20,14,3,31,289.4993885581869,37
2025-07-23,Josephine Jackson,17,N/A,N/A,3057,40,18,17,3,36,280.5390597119324,36
2025-07-23,Sybil A,18,N/A,N/A,3955,37,22,8,6,34,279.4962635433172,36
2025-07-23,Vintage,19,N/A,N/A,1016,56,14,24,9,0,279.2292668884035,120
2025-07-23,Lady Lyne,20,N/A,N/A,3116,20,17,18,4,35,276.89146550944764,39
2025-07-23,Cory Chase,21,N/A,N/A,6072,61,20,11,4,36,274.2985596619702,36
2025-07-23,Laney Grey,22,N/A,N/A,2978,7,20,11,3,32,270.9411659743337,33
2025-07-23,Nephael,23,N/A,N/A,359,2,21,8,1,28,261.35051437245136,9
2025-07-23,Anya Olsen,24,N/A,N/A,5493,16,18,12,4,33,259.3675609895365,35
2025-07-23,Aubree Valentine,25,N/A,N/A,3420,60,18,12,4,36,256.6158646548566,34
2025-07-23,Cadence Lux,26,N/A,N/A,2365,85,18,10,1,28,242.1773407277347,29
2025-07-23,Little Caprice,27,N/A,N/A,1574,29,17,12,0,27,241.19153831146892,26
2025-07-23,Ella Hughes,28,N/A,N/A,6182,8,15,14,2,30,238.1852930400316,29
2025-07-23,Lily LaBeau,29,N/A,N/A,4312,2,19,6,0,22,234.37105953111694,25
2025-07-23,Anita Rover,30,N/A,N/A,1233,16,13,18,3,26,234.03477010263657,24
2025-07-23,Serenity Cox,31,N/A,N/A,819,16,17,8,1,20,221.61369605869842,12
2025-07-23,Betzz,32,N/A,N/A,3257,8,17,7,1,20,219.21031338177286,25
2025-07-23,Flashing Emma,33,N/A,N/A,226,22,18,3,0,4,204.92284413229984,1
2025-07-23,REBECCA VOLPETTI,34,N/A,N/A,3038,7,11,14,5,21,198.00219119809287,29
2025-07-23,CHARLIE FORDE,35,N/A,N/A,1976,7,14,8,1,20,192.92204473755584,20
2025-07-23,Crystal Clark,36,N/A,N/A,3774,5,12,10,6,27,189.78000704228702,28
2025-07-23,Full Movies,37,N/A,N/A,873,5,8,18,3,0,183.82943747353195,58
2025-07-23,Stacy Cruz,38,N/A,N/A,2852,99,12,9,3,24,179.4679837646734,26
2025-07-23,Lexi Luna,39,N/A,N/A,2789,39,11,10,4,23,176.28110026218246,28
2025-07-23,Olive Glass,40,N/A,N/A,2503,20,10,12,4,24,176.2679911400416,28
2025-07-23,Jessie and Jackson,41,N/A,N/A,47,28,13,6,1,9,170.6530662498394,1
2025-07-23,Melissa sexy hippies,42,N/A,N/A,99,7,15,2,0,15,170.01297232095698,1
2025-07-23,Katie Kush,43,N/A,N/A,2880,16,9,13,1,24,168.70991249482535,23
2025-07-23,Brett Rossi,44,N/A,N/A,3171,252,13,5,2,20,166.55559243239642,20
2025-07-23,Nikita Bellucci,45,N/A,N/A,266,2,10,9,1,18,156.25592527562463,7
